period,metric,value,unit,source_file,anchor_quote
1Q25,net_investment_gains_losses_incl_funds_withheld,-112,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"CONSOLIDATED STATEMENTS OF OPERATIONS p.4: 'Net investment gains (losses), including funds withheld ... (175) 431 322 (112)'"
2Q25,net_investment_gains_losses_incl_funds_withheld,322,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"CONSOLIDATED STATEMENTS OF OPERATIONS p.4: 'Net investment gains (losses), including funds withheld ... (175) 431 322 (112)'"
3Q25,net_investment_gains_losses_incl_funds_withheld,431,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"CONSOLIDATED STATEMENTS OF OPERATIONS p.4: 'Net investment gains (losses), including funds withheld ... (175) 431 322 (112)'"
4Q25,net_investment_gains_losses_incl_funds_withheld,-175,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"CONSOLIDATED STATEMENTS OF OPERATIONS p.4: 'Net investment gains (losses), including funds withheld ... (175) 431 322 (112)'"
1Q26,net_investment_gains_losses_incl_funds_withheld,-687,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q1-2026.pdf,"CONSOLIDATED STATEMENTS OF OPERATIONS p.4: 'Net investment gains (losses), including funds withheld ... (175) 431 322 (112)'"
4Q24,total_revenues,5747,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"CONSOLIDATED STATEMENTS OF OPERATIONS p.4 (Dec. 31, 2024 col): 'Total revenues ... 3,054 2,926 3,037 2,618'"
1Q25,total_revenues,2618,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"CONSOLIDATED STATEMENTS OF OPERATIONS p.4: 'Total revenues ... 3,054 2,926 3,037 2,618'"
2Q25,total_revenues,3037,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"CONSOLIDATED STATEMENTS OF OPERATIONS p.4: 'Total revenues ... 3,054 2,926 3,037 2,618'"
3Q25,total_revenues,2926,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"CONSOLIDATED STATEMENTS OF OPERATIONS p.4: 'Total revenues ... 3,054 2,926 3,037 2,618'"
4Q25,total_revenues,3054,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"CONSOLIDATED STATEMENTS OF OPERATIONS p.4: 'Total revenues ... 3,054 2,926 3,037 2,618'"
1Q26,total_revenues,1656,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q1-2026.pdf,"CONSOLIDATED STATEMENTS OF OPERATIONS p.4: 'Total revenues ... 3,054 2,926 3,037 2,618'"
4Q24,benefits_and_claims_paid_on_insurance_contracts,-4003,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"CONSOLIDATED STATEMENTS OF OPERATIONS p.4 (Dec. 31, 2024 col): 'Benefits and claims paid on insurance contracts ... (1,559) (744) (1,079) (1,107)'"
1Q25,benefits_and_claims_paid_on_insurance_contracts,-1107,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"CONSOLIDATED STATEMENTS OF OPERATIONS p.4: 'Benefits and claims paid on insurance contracts ... (1,559) (744) (1,079) (1,107)'"
2Q25,benefits_and_claims_paid_on_insurance_contracts,-1079,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"CONSOLIDATED STATEMENTS OF OPERATIONS p.4: 'Benefits and claims paid on insurance contracts ... (1,559) (744) (1,079) (1,107)'"
3Q25,benefits_and_claims_paid_on_insurance_contracts,-744,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"CONSOLIDATED STATEMENTS OF OPERATIONS p.4: 'Benefits and claims paid on insurance contracts ... (1,559) (744) (1,079) (1,107)'"
4Q25,benefits_and_claims_paid_on_insurance_contracts,-1559,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"CONSOLIDATED STATEMENTS OF OPERATIONS p.4: 'Benefits and claims paid on insurance contracts ... (1,559) (744) (1,079) (1,107)'"
1Q26,benefits_and_claims_paid_on_insurance_contracts,-655,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q1-2026.pdf,"CONSOLIDATED STATEMENTS OF OPERATIONS p.4: 'Benefits and claims paid on insurance contracts ... (1,559) (744) (1,079) (1,107)'"
4Q24,interest_sensitive_contract_benefits,-710,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"CONSOLIDATED STATEMENTS OF OPERATIONS p.4 (Dec. 31, 2024 col): 'Interest sensitive contract benefits ... (517) (534) (497) (524)'"
1Q25,interest_sensitive_contract_benefits,-524,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,CONSOLIDATED STATEMENTS OF OPERATIONS p.4: 'Interest sensitive contract benefits ... (517) (534) (497) (524)'
2Q25,interest_sensitive_contract_benefits,-497,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,CONSOLIDATED STATEMENTS OF OPERATIONS p.4: 'Interest sensitive contract benefits ... (517) (534) (497) (524)'
3Q25,interest_sensitive_contract_benefits,-534,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,CONSOLIDATED STATEMENTS OF OPERATIONS p.4: 'Interest sensitive contract benefits ... (517) (534) (497) (524)'
4Q25,interest_sensitive_contract_benefits,-517,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,CONSOLIDATED STATEMENTS OF OPERATIONS p.4: 'Interest sensitive contract benefits ... (517) (534) (497) (524)'
